economy,year,iso3,gpi,region,income_group,pop_millions
Afghanistan,2020,AFG,0.380919992923737,"Middle East, North Africa, Afghanistan & Pakistan",Low income,42.65
Albania,2024,ALB,1.23511004447937,Europe & Central Asia,Upper middle income,2.38
Algeria,2024,DZA,1.34598556429492,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,46.81
American Samoa,1989,ASM,1.16693997383118,East Asia & Pacific,High income,0.05
Andorra,2024,AND,1.08900352908251,Europe & Central Asia,High income,0.08
Angola,2024,AGO,0.988688918389289,Sub-Saharan Africa ,Lower middle income,37.89
Antigua and Barbuda,2012,ATG,1.54403108680938,Latin America & Caribbean ,High income,0.09
Argentina,2023,ARG,1.45130793302656,Latin America & Caribbean ,Upper middle income,45.70
Armenia,2024,ARM,1.27757754445656,Europe & Central Asia,Upper middle income,3.03
Aruba,2024,ABW,1.56790802162285,Latin America & Caribbean ,High income,0.11
Australia,2023,AUS,1.31589996814728,East Asia & Pacific,High income,27.20
Austria,2023,AUT,1.22890996932983,Europe & Central Asia,High income,9.18
Azerbaijan,2024,AZE,1.21974819350581,Europe & Central Asia,Upper middle income,10.20
"Bahamas, The",1995,BHS,1.62165999412537,Latin America & Caribbean ,High income,0.40
Bahrain,2024,BHR,1.46621474006902,"Middle East, North Africa, Afghanistan & Pakistan",High income,1.59
Bangladesh,2024,BGD,0.771458737598201,South Asia,Lower middle income,173.56
Barbados,2025,BRB,1.48599724241332,Latin America & Caribbean ,High income,0.28
Belarus,2024,BLR,1.14027587985729,Europe & Central Asia,Upper middle income,9.13
Belgium,2023,BEL,1.27315998077393,Europe & Central Asia,High income,11.86
Belize,2024,BLZ,1.44858157012052,Latin America & Caribbean ,Upper middle income,0.42
Benin,2022,BEN,0.59306001663208,Sub-Saharan Africa ,Lower middle income,14.46
Bermuda,2023,BMU,1.33557999134064,North America,High income,0.06
Bhutan,2024,BTN,1.10949005757876,South Asia,Lower middle income,0.79
Bosnia and Herzegovina,2023,BIH,1.40394997596741,Europe & Central Asia,Upper middle income,3.16
Botswana,2024,BWA,1.38913869400837,Sub-Saharan Africa ,Upper middle income,2.52
Brazil,2022,BRA,1.31669998168945,Latin America & Caribbean ,Upper middle income,212.00
British Virgin Islands,2024,VGB,1.37125891637578,Latin America & Caribbean ,High income,0.04
Brunei Darussalam,2023,BRN,1.34505828312572,East Asia & Pacific,High income,0.46
Bulgaria,2023,BGR,1.25286996364594,Europe & Central Asia,High income,6.44
Burkina Faso,2024,BFA,0.740081389583452,Sub-Saharan Africa ,Low income,23.55
Burundi,2023,BDI,0.776679992675781,Sub-Saharan Africa ,Low income,14.05
Cabo Verde,2018,CPV,1.36257539891502,Sub-Saharan Africa ,Upper middle income,0.52
Cambodia,2024,KHM,1.10924118675442,East Asia & Pacific,Lower middle income,17.64
Cameroon,2024,CMR,0.964849822776725,Sub-Saharan Africa ,Lower middle income,29.12
Canada,2023,CAN,1.26870000362396,North America,High income,41.29
Cayman Islands,2008,CYM,1.50953996181488,Latin America & Caribbean ,High income,0.07
Central African Republic,2012,CAF,0.34799998998642,Sub-Saharan Africa ,Low income,5.33
Chad,2020,TCD,0.3944769206848,Sub-Saharan Africa ,Low income,20.30
Chile,2023,CHL,1.16005003452301,Latin America & Caribbean ,High income,19.76
China,2024,CHN,1.13814000492912,East Asia & Pacific,Upper middle income,1408.97
Colombia,2022,COL,1.15418994426727,Latin America & Caribbean ,Upper middle income,52.89
Comoros,2017,COM,0.944284484618722,Sub-Saharan Africa ,Lower middle income,0.87
"Congo, Dem. Rep.",2020,COD,0.592310011386871,Sub-Saharan Africa ,Low income,109.28
"Congo, Rep.",2023,COG,0.669059991836548,Sub-Saharan Africa ,Lower middle income,6.33
Costa Rica,2019,CRI,1.17723000049591,Latin America & Caribbean ,High income,5.13
Cote d'Ivoire,2023,CIV,0.934797177852811,Sub-Saharan Africa ,Lower middle income,31.93
Croatia,2023,HRV,1.32664000988007,Europe & Central Asia,High income,3.87
Cuba,2024,CUB,1.49335735960971,Latin America & Caribbean ,Upper middle income,10.98
Curacao,2013,CUW,1.57682379140497,Latin America & Caribbean ,High income,0.16
Cyprus,2023,CYP,1.29158997535706,Europe & Central Asia,High income,1.36
Czechia,2023,CZE,1.26110005378723,Europe & Central Asia,High income,10.91
Denmark,2023,DNK,1.28236997127533,Europe & Central Asia,High income,5.98
Djibouti,2011,DJI,0.671779990196228,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1.17
Dominica,1993,DMA,0.916339993476868,Latin America & Caribbean ,Upper middle income,0.07
Dominican Republic,2024,DOM,1.49151871186814,Latin America & Caribbean ,Upper middle income,11.43
Ecuador,2023,ECU,1.21161973843986,Latin America & Caribbean ,Upper middle income,18.14
"Egypt, Arab Rep.",2025,EGY,1.02953889595206,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,116.54
El Salvador,2024,SLV,1.26044960290365,Latin America & Caribbean ,Upper middle income,6.34
Equatorial Guinea,2000,GNQ,0.461230009794235,Sub-Saharan Africa ,Upper middle income,1.89
Eritrea,2016,ERI,0.704339981079102,Sub-Saharan Africa ,Low income,3.54
Estonia,2023,EST,1.33524000644684,Europe & Central Asia,High income,1.37
Eswatini,2013,SWZ,0.987380177084798,Sub-Saharan Africa ,Lower middle income,1.24
Ethiopia,2014,ETH,0.433002616057505,Sub-Saharan Africa ,Not classified,132.06
Fiji,2024,FJI,1.2229672054574,East Asia & Pacific,Upper middle income,0.93
Finland,2023,FIN,1.23632001876831,Europe & Central Asia,High income,5.62
France,2023,FRA,1.24346005916596,Europe & Central Asia,High income,68.55
French Polynesia,1992,PYF,1.03269004821777,East Asia & Pacific,High income,0.28
Gabon,2003,GAB,0.577849984169006,Sub-Saharan Africa ,Upper middle income,2.54
"Gambia, The",2024,GMB,1.8296400308609,Sub-Saharan Africa ,Low income,2.76
Georgia,2023,GEO,1.13440901169403,Europe & Central Asia,Upper middle income,3.70
Germany,2023,DEU,1.08463001251221,Europe & Central Asia,High income,83.52
Ghana,2023,GHA,0.96296416168091,Sub-Saharan Africa ,Lower middle income,34.43
Greece,2023,GRC,1.0673600435257,Europe & Central Asia,High income,10.41
Grenada,2018,GRD,1.22293996810913,Latin America & Caribbean ,Upper middle income,0.12
Guatemala,2023,GTM,1.20962502428255,Latin America & Caribbean ,Upper middle income,18.41
Guinea,2014,GIN,0.441119998693466,Sub-Saharan Africa ,Lower middle income,14.75
Guinea-Bissau,1989,GNB,0.0599200017750263,Sub-Saharan Africa ,Low income,2.20
Guyana,2024,GUY,1.57473742526691,Latin America & Caribbean ,High income,0.83
Haiti,1986,HTI,0.348159998655319,Latin America & Caribbean ,Lower middle income,11.77
Honduras,2019,HND,1.28411490523733,Latin America & Caribbean ,Lower middle income,10.83
"Hong Kong SAR, China",2024,HKG,1.09234325401374,East Asia & Pacific,High income,7.52
Hungary,2023,HUN,1.20304000377655,Europe & Central Asia,High income,9.56
Iceland,2023,ISL,1.51546001434326,Europe & Central Asia,High income,0.39
India,2024,IND,1.05365860893619,South Asia,Lower middle income,1450.94
Indonesia,2023,IDN,1.19583636791956,East Asia & Pacific,Upper middle income,283.49
"Iran, Islamic Rep.",2022,IRN,1.01493000984192,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,91.57
Iraq,2005,IRQ,0.583779990673065,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,46.04
Ireland,2022,IRL,1.1832400560379,Europe & Central Asia,High income,5.40
